"tanggal","penumpang.tiba"
2023-01-01,5772
2023-01-02,6737
2023-01-03,7307
2023-01-04,7137
2023-01-05,7443
2023-01-06,6943
2023-01-07,6801
2023-01-08,7200
2023-01-09,7035
2023-01-10,7112
2023-01-11,7078
2023-01-12,6642
2023-01-13,6126
2023-01-14,6592
2023-01-15,6752
2023-01-16,6621
2023-01-17,6330
2023-01-18,6344
2023-01-19,6580
2023-01-20,6803
2023-01-21,6747
2023-01-22,5922
2023-01-23,7154
2023-01-24,6532
2023-01-25,6184
2023-01-26,5996
2023-01-27,5668
2023-01-28,6222
2023-01-29,6791
2023-01-30,6963
2023-01-31,6394
2023-02-01,6532
2023-02-02,5917
2023-02-03,5615
2023-02-04,6072
2023-02-05,6783
2023-02-06,6501
2023-02-07,4514
2023-02-08,6882
2023-02-09,6069
2023-02-10,5832
2023-02-11,5832
2023-02-12,6767
2023-02-13,6695
2023-02-14,6552
2023-02-15,7160
2023-02-16,6597
2023-02-17,6518
2023-02-18,6685
2023-02-19,7716
2023-02-20,7678
2023-02-21,8015
2023-02-22,7848
2023-02-23,6948
2023-02-24,6699
2023-02-25,7346
2023-02-26,6892
2023-02-27,6923
2023-02-28,7002
2023-03-01,6576
2023-03-02,6044
2023-03-03,6293
2023-03-04,6636
2023-03-05,6681
2023-03-06,7169
2023-03-07,6760
2023-03-08,6973
2023-03-09,6490
2023-03-10,6610
2023-03-11,6847
2023-03-12,6965
2023-03-13,7378
2023-03-14,7093
2023-03-15,7401
2023-03-16,7256
2023-03-17,7136
2023-03-18,7216
2023-03-19,6957
2023-03-20,6961
2023-03-21,6294
2023-03-22,6206
2023-03-23,4328
2023-03-24,4036
2023-03-25,4511
2023-03-26,5552
2023-03-27,5508
2023-03-28,4640
2023-03-29,4907
2023-03-30,4720
2023-03-31,4539
2023-04-01,4498
2023-04-02,4226
2023-04-03,4468
2023-04-04,4494
2023-04-05,4896
2023-04-06,4708
2023-04-07,4363
2023-04-08,4275
2023-04-09,5432
2023-04-10,5488
2023-04-11,4809
2023-04-12,5427
2023-04-13,5239
2023-04-14,6314
2023-04-15,7272
2023-04-16,6359
2023-04-17,5371
2023-04-18,6612
2023-04-19,7655
2023-04-20,6345
2023-04-21,4271
2023-04-22,2139
2023-04-23,3904
2023-04-24,5658
2023-04-25,7303
2023-04-26,8245
2023-04-27,7631
2023-04-28,8629
2023-04-29,9968
2023-04-30,10929
2023-05-01,11004
2023-05-02,9545
2023-05-03,9824
2023-05-04,9460
2023-05-05,9679
2023-05-06,9572
2023-05-07,9732
2023-05-08,9168
2023-05-09,9261
2023-05-10,9320
2023-05-11,9551
2023-05-12,9427
2023-05-13,9069
2023-05-14,9613
2023-05-15,9246
2023-05-16,9225
2023-05-17,9702
2023-05-18,9432
2023-05-19,8476
2023-05-20,8336
2023-05-21,9131
2023-05-22,9100
2023-05-23,7658
2023-05-24,8268
2023-05-25,7935
2023-05-26,7534
2023-05-27,7133
2023-05-28,8112
2023-05-29,7668
2023-05-30,7868
2023-05-31,7536
2023-06-01,8227
2023-06-02,7393
2023-06-03,6178
2023-06-04,8260
2023-06-05,9404
2023-06-06,6796
2023-06-07,7960
2023-06-08,6443
2023-06-09,6517
2023-06-10,7387
2023-06-11,7091
2023-06-12,7200
2023-06-13,6442
2023-06-14,8126
2023-06-15,7571
2023-06-16,7380
2023-06-17,7763
2023-06-18,8141
2023-06-19,7245
2023-06-20,7489
2023-06-21,7773
2023-06-22,7455
2023-06-23,8330
2023-06-24,8415
2023-06-25,9259
2023-06-26,8538
2023-06-27,7755
2023-06-28,7682
2023-06-29,4760
2023-06-30,7007
2023-07-01,6984
2023-07-02,9187
2023-07-03,8788
2023-07-04,8828
2023-07-05,10048
2023-07-06,9713
2023-07-07,9705
2023-07-08,9686
2023-07-09,10047
2023-07-10,9874
2023-07-11,10953
2023-07-12,10690
2023-07-13,10037
2023-07-14,8959
2023-07-15,9512
2023-07-16,9445
2023-07-17,7652
2023-07-18,7940
2023-07-19,9125
2023-07-20,7962
2023-07-21,6768
2023-07-22,8191
2023-07-23,8748
2023-07-24,7643
2023-07-25,8076
2023-07-26,7594
2023-07-27,7225
2023-07-28,6556
2023-07-29,7228
2023-07-30,7642
2023-07-31,7292
2023-08-01,6568
2023-08-02,7141
2023-08-03,6396
2023-08-04,6015
2023-08-05,6298
2023-08-06,7381
2023-08-07,7352
2023-08-08,5583
2023-08-09,6742
2023-08-10,6540
2023-08-11,6394
2023-08-12,6204
2023-08-13,7231
2023-08-14,6809
2023-08-15,5705
2023-08-16,6162
2023-08-17,4701
2023-08-18,5212
2023-08-19,5575
2023-08-20,7198
2023-08-21,7616
2023-08-22,6643
2023-08-23,7210
2023-08-24,6333
2023-08-25,6400
2023-08-26,6414
2023-08-27,7222
2023-08-28,7106
2023-08-29,6020
2023-08-30,7375
2023-08-31,6494
2023-09-01,6751
2023-09-02,6432
2023-09-03,7182
2023-09-04,6963
2023-09-05,6344
2023-09-06,8243
2023-09-07,6099
2023-09-08,6813
2023-09-09,6294
2023-09-10,7046
2023-09-11,6978
2023-09-12,6148
2023-09-13,7331
2023-09-14,5954
2023-09-15,6622
2023-09-16,6103
2023-09-17,7596
2023-09-18,7345
2023-09-19,6464
2023-09-20,7537
2023-09-21,6392
2023-09-22,6421
2023-09-23,6345
2023-09-24,6832
2023-09-25,6800
2023-09-26,5138
2023-09-27,5086
2023-09-28,6659
2023-09-29,6324
2023-09-30,6056
2023-10-01,8195
2023-10-02,7640
2023-10-03,6291
2023-10-04,8586
2023-10-05,7085
2023-10-06,6376
2023-10-07,6311
2023-10-08,7744
2023-10-09,7658
2023-10-10,6610
2023-10-11,7393
2023-10-12,6668
2023-10-13,6335
2023-10-14,6607
2023-10-15,7641
2023-10-16,7571
2023-10-17,6899
2023-10-18,7421
2023-10-19,6450
2023-10-20,6794
2023-10-21,6148
2023-10-22,7668
2023-10-23,7517
2023-10-24,6253
2023-10-25,7491
2023-10-26,7314
2023-10-27,7174
2023-10-28,7750
2023-10-29,6712
2023-10-30,7966
2023-10-31,6717
2023-11-01,7230
2023-11-02,6976
2023-11-03,6496
2023-11-04,6389
2023-11-05,7494
2023-11-06,7950
2023-11-07,6377
2023-11-08,7191
2023-11-09,6713
2023-11-10,7226
2023-11-11,6523
2023-11-12,7972
2023-11-13,7947
2023-11-14,5956
2023-11-15,7733
2023-11-16,7321
2023-11-17,7119
2023-11-18,7087
2023-11-19,8346
2023-11-20,8481
2023-11-21,5957
2023-11-22,7168
2023-11-23,6876
2023-11-24,6904
2023-11-25,7681
2023-11-26,8166
2023-11-27,8489
2023-11-28,6517
2023-11-29,6777
2023-11-30,6697
2023-12-01,6999
2023-12-02,5915
2023-12-03,6850
2023-12-04,7399
2023-12-05,5879
2023-12-06,7275
2023-12-07,6443
2023-12-08,6699
2023-12-09,6952
2023-12-10,7694
2023-12-11,7220
2023-12-12,5614
2023-12-13,6865
2023-12-14,6941
2023-12-15,7054
2023-12-16,7224
2023-12-17,7801
2023-12-18,7801
2023-12-19,5129
2023-12-20,7604
2023-12-21,7009
2023-12-22,6935
2023-12-23,7782
2023-12-24,6059
2023-12-25,5808
2023-12-26,6597
2023-12-27,6494
2023-12-28,6155
2023-12-29,5723
2023-12-30,5895
2023-12-31,5203
2024-01-01,6568
2024-01-02,7939
2024-01-03,8187
2024-01-04,6920
2024-01-05,4320
2024-01-06,5777
2024-01-07,8328
2024-01-08,5939
2024-01-09,3226
2024-01-10,7221
2024-01-11,6572
2024-01-12,4431
2024-01-13,3461
2024-01-14,6732
2024-01-15,7205
2024-01-16,7205
2024-01-17,3275
2024-01-18,6273
2024-01-19,6027
2024-01-20,3447
2024-01-21,2928
2024-01-22,5795
2024-01-23,5671
2024-01-24,4051
2024-01-26,5595
2024-01-27,3959
2024-01-28,4114
2024-01-29,3193
2024-01-30,5449
2024-01-31,3844
2024-02-01,2478
2024-02-02,3200
2024-02-03,1944
2024-02-04,3750
2024-02-05,3545
2024-02-06,3545
2024-02-07,2109
2024-02-08,3109
2024-02-09,3109
2024-02-10,2558
2024-02-11,5735
2024-02-12,7209
2024-02-13,7209
2024-02-14,2058
2024-02-15,5114
2024-02-16,3022
2024-02-17,3479
2024-02-18,3533
2024-02-19,6816
2024-02-20,5607
2024-02-21,5599
2024-02-22,2570
2024-02-23,6586
2024-02-24,3545
2024-02-25,3995
2024-02-26,3599
2024-02-27,6148
2024-02-28,7522
2024-02-29,2770
2024-03-01,4448
2024-03-06,7839
2024-03-07,7446
2024-03-08,7940
2024-03-09,6657
2024-03-10,6775
2024-03-11,5221
2024-03-12,5853
2024-03-13,4296
2024-03-14,5123
2024-03-15,4742
2024-03-16,5761
2024-03-17,4610
2024-03-18,4443
2024-03-19,4348
2024-03-20,5689
2024-03-21,3504
2024-03-24,4834
2024-03-25,5271
2024-03-26,4344
2024-03-27,5269
2024-03-28,4698
2024-03-29,5626
2024-03-30,4943
2024-03-31,5522
2024-04-01,5537
2024-04-02,4944
2024-04-03,5008
2024-04-04,5386
2024-04-05,6748
2024-04-06,8087
2024-04-07,6362
2024-04-08,5498
2024-04-09,4233
2024-04-10,2932
2024-04-11,3059
2024-04-12,5438
2024-04-13,6785
2024-04-14,10768
2024-04-15,12414
2024-04-16,11584
2024-04-17,10568
2024-04-18,10015
2024-04-19,10015
2024-04-20,11172
2024-04-21,12175
2024-04-22,10301
2024-04-23,9906
2024-04-24,11029
2024-04-25,9662
2024-04-26,9696
2024-04-27,9830
2024-04-28,10425
2024-04-29,10514
2024-04-30,9615
2024-05-01,10037
2024-05-02,8902
2024-05-03,9896
2024-05-04,9135
2024-05-05,10244
2024-05-06,9707
2024-05-07,8070
2024-05-08,9882
2024-05-09,8589
2024-05-10,7768
2024-05-11,7064
2024-05-12,9158
2024-05-13,8963
2024-05-14,7615
2024-05-15,8484
2024-05-16,7579
2024-05-17,8618
2024-05-18,7185
2024-05-19,8502
2024-05-20,7960
2024-05-21,6617
2024-05-22,6910
2024-05-23,6780
2024-05-24,6886
2024-05-25,5944
2024-05-26,9147
2024-05-27,7933
2024-05-28,7468
2024-05-29,6372
2024-05-30,6985
2024-05-31,6557
2024-06-01,6581
2024-06-02,8011
2024-06-03,8653
2024-06-04,7102
2024-06-05,7123
2024-06-06,6460
2024-06-07,6594
2024-06-08,6386
2024-06-09,7314
2024-06-10,7830
2024-06-11,6854
2024-06-12,7680
2024-06-13,6794
2024-06-14,7767
2024-06-15,7196
2024-06-16,5867
2024-06-17,4095
2024-06-18,6374
2024-06-19,8329
2024-06-20,7509
2024-06-21,7339
2024-06-22,8220
2024-06-23,9239
2024-06-24,9435
2024-06-25,8793
2024-06-26,9755
2024-06-27,8629
2024-06-28,9866
2024-06-29,8894
2024-06-30,9941
2024-07-01,9704
2024-07-02,9132
2024-07-03,9662
2024-07-04,9510
2024-07-05,9651
2024-07-06,9131
2024-07-07,9921
2024-07-08,10612
2024-07-09,9425
2024-07-10,10346
2024-07-11,10188
2024-07-12,9574
2024-07-13,10427
2024-07-14,10611
2024-07-15,10445
2024-07-16,8488
2024-07-17,3236
2024-07-18,7899
2024-07-19,7965
2024-07-20,8473
2024-07-21,8757
2024-07-22,8298
2024-07-23,6928
2024-07-24,8209
2024-07-25,7761
2024-07-26,8096
2024-07-27,7196
2024-07-28,7585
2024-07-29,7289
2024-07-30,6337
2024-07-31,7307
