"","Data","Trend","Remainder"
"1",8415,9562.6708923077,-1147.6708923077
"2",8619,9850.01678461539,-1231.01678461539
"3",9232,10137.3626769231,-905.36267692308
"4",10411,10424.7085692308,-13.7085692307737
"5",10965,10712.0544615385,252.945538461536
"6",9497,10999.4003538462,-1502.40035384616
"7",9231,11286.7462461538,-2055.74624615385
"8",10885,11574.0921384615,-689.092138461541
"9",11339,11861.4380307692,-522.438030769234
"10",10325,12148.7839230769,-1823.78392307692
"11",11992,12436.1298153846,-444.129815384616
"12",12622,12723.4757076923,-101.475707692309
"13",15861,13010.8216,2850.1784
"14",18178,13276.0816615385,4901.91833846154
"15",17100,13528.4629846154,3571.53701538461
"16",16421,13768.3143692308,2652.68563076923
"17",18633,13997.0662153846,4635.93378461539
"18",20043,14210.4081230769,5832.59187692308
"19",17963,14407.3480923077,3555.65190769231
"20",14292,14590.6589230769,-298.65892307692
"21",7298,14764.7710153846,-7466.77101538461
"22",9712,14945.1355692308,-5233.13556923076
"23",12867,15126.7941846154,-2259.79418461538
"24",14714,15299.9884615385,-585.98846153846
"25",15783,15461.5792,321.4208
"26",14585,15613.1248,-1028.1248
"27",16049,15756.336,292.663999999999
"28",18086,15884.3008,2201.6992
"29",19899,15993.248,3905.752
"30",20476,16079.0384,4396.9616
"31",17395,16141.0448,1253.9552
"32",17481,16184.2192,1296.7808
"33",16975,16211.2512,763.748799999999
"34",17325,16224.1968,1100.8032
"35",16908,16223.9168,684.083199999999
"36",17257,16212.4272,1044.5728
"37",15937,16191.0704,-254.070400000002
"38",15770,16159.6704,-389.670400000003
"39",16882,16121.28,760.719999999998
"40",16022,16081.72,-59.720000000003
"41",16237,16043.3824,193.617599999998
"42",15755,15999.808,-244.808000000003
"43",16545,15958.952,586.047999999999
"44",16198,15918.568,279.431999999999
"45",15296,15876.7008,-580.700800000001
"46",17959,15831.5008,2127.4992
"47",17274,15764.064,1509.936
"48",14330,15679.6448,-1349.6448
"49",14215,15591.6096,-1376.6096
"50",16258,15508.3872,749.612800000001
"51",15546,15425.2912,120.7088
"52",13950,15341.6768,-1391.6768
"53",15054,15266.4368,-212.436799999999
"54",14914,15201.048,-287.047999999999
"55",15122,15146.1888,-24.1887999999981
"56",13523,15102.1648,-1579.1648
"57",15642,15070.968,571.032000000001
"58",14261,15044.904,-783.903999999997
"59",15045,15028.4928,16.5072000000036
"60",16485,15020.2352,1464.7648
"61",16355,15016.6192,1338.38080000001
"62",12975,15016.1344,-2041.1344
"63",11310,15017.9136,-3707.91359999999
"64",14855,15035.328,-180.327999999994
"65",15708,15048.7456,659.254400000007
"66",12780,15059.7568,-2279.7568
"67",14576,15077.8912,-501.891199999995
"68",13342,15102.0864,-1760.08639999999
"69",13506,15136.1136,-1630.11359999999
"70",14217,15178.6,-961.599999999995
"71",14722,15229.8336,-507.833599999994
"72",14222,15291.2688,-1069.26879999999
"73",13533,15363.1168,-1830.11679999999
"74",16724,15441.92,1282.08000000001
"75",16812,15518.4448,1293.55520000001
"76",16183,15595.2608,587.739200000009
"77",17085,15674.3136,1410.68640000001
"78",18179,15751.5632,2427.43680000001
"79",16510,15823.2064,686.793600000008
"80",16540,15893.1008,646.899200000009
"81",17668,15961.9616,1706.03840000001
"82",17011,16023.4464,987.553600000008
"83",17580,16077.44,1502.56000000001
"84",17861,16121.1984,1739.80160000001
"85",18963,16158.9712,2804.02880000001
"86",17410,16186.4496,1223.55040000001
"87",11428,16206.8832,-4778.88319999999
"88",16622,16235.8144,386.185600000004
"89",10330,16255.744,-5925.744
"90",13890,16290.7904,-2400.7904
"91",13775,16330.5264,-2555.5264
"92",17185,16370.2816,814.718400000005
"93",16284,16400.8448,-116.844799999995
"94",16101,16423.1696,-322.169599999994
"95",18605,16437.072,2167.928
"96",17861,16435.8816,1425.1184
"97",17678,16422.3792,1255.6208
"98",17083,16395.3648,687.635199999997
"99",17809,16358.2464,1450.7536
"100",17548,16311.0784,1236.9216
"101",18218,16255.3552,1962.6448
"102",19093,16187.9792,2905.0208
"103",17800,16109.1136,1690.8864
"104",17013,16024.4688,988.531199999996
"105",17312,15929.432,1382.568
"106",17203,15827.4912,1375.5088
"107",13698,15720.8448,-2022.8448
"108",14502,15619.2592,-1117.2592
"109",16936,15520.6544,1415.3456
"110",15007,15419.3968,-412.396800000002
"111",14062,15321.7216,-1259.7216
"112",15192,15225.4688,-33.4688000000042
"113",16308,15119.5648,1188.4352
"114",15253,15005.4144,247.585599999997
"115",15003,14876.5936,126.406399999996
"116",14782,14740.8624,41.1375999999946
"117",14049,14602.1984,-553.198400000003
"118",14077,14468.7264,-391.726400000003
"119",13432,14338.7312,-906.731200000004
"120",13560,14214.5648,-654.564800000002
"121",13305,14097.568,-792.568000000003
"122",12689,13987.6192,-1298.6192
"123",14318,13886.648,431.351999999995
"124",12613,13789.552,-1176.552
"125",12937,13701.664,-764.664000000004
"126",12970,13619.5552,-649.555200000004
"127",13920,13548.4192,371.580799999996
"128",13809,13484.2496,324.750399999995
"129",11021,13426.0576,-2405.05760000001
"130",13769,13380.4976,388.502399999996
"131",13797,13340.6112,456.388799999993
"132",13548,13304.84,243.159999999993
"133",13287,13267.4672,19.5327999999936
"134",14353,13234.8448,1118.15519999999
"135",13290,13203.4624,86.5375999999924
"136",11603,13175.5824,-1572.58240000001
"137",12924,13152.8672,-228.867200000006
"138",10840,13134.5088,-2294.50880000001
"139",11007,13128.3024,-2121.3024
"140",11797,13130.48,-1333.48000000001
"141",13956,13142.4928,813.507199999995
"142",14158,13153.7552,1004.24479999999
"143",14043,13164.5216,878.478399999995
"144",14406,13172.5104,1233.48959999999
"145",12996,13178.7744,-182.774400000009
"146",13154,13186.728,-32.7280000000101
"147",13311,13193.4624,117.537599999991
"148",13975,13201.8848,773.115199999991
"149",13172,13209.3104,-37.3104000000094
"150",11938,13216.024,-1278.02400000001
"151",14580,13226.2944,1353.70559999999
"152",13101,13232.8832,-131.883200000013
"153",13554,13241.2288,312.77119999999
"154",12924,13246.1488,-322.14880000001
"155",13772,13244.232,527.767999999989
"156",12963,13241.992,-278.992000000011
"157",12397,13239.7088,-842.708800000011
"158",15041,13238.4496,1802.55039999999
"159",12545,13235.9696,-690.969600000011
"160",13762,13239.1904,522.809599999988
"161",12372,13239.3216,-867.32160000001
"162",13379,13244.304,134.695999999989
"163",12967,13250.1424,-283.142400000012
"164",12001,13253.9344,-1252.93440000001
"165",14738,13257.112,1480.88799999999
"166",12661,13255.76,-594.760000000011
"167",13957,13258.4528,698.54719999999
"168",12273,13260.3168,-987.316800000011
"169",14302,13269.704,1032.29599999999
"170",13488,13279.3776,208.622399999991
"171",12241,13289.2304,-1048.23040000001
"172",14988,13301.3856,1686.61439999999
"173",13009,13310.3264,-301.326400000009
"174",13286,13322.5296,-36.5296000000089
"175",13162,13334.152,-172.152000000009
"176",13889,13346.7136,542.286399999992
"177",13380,13359.6336,20.3663999999917
"178",11158,13373.6464,-2215.64640000001
"179",10554,13392.8544,-2838.85440000001
"180",13573,13421.3648,151.635199999993
"181",12102,13450.8864,-1348.88640000001
"182",11886,13482.4304,-1596.4304
"183",16032,13520.1312,2511.86879999999
"184",14300,13556.3152,743.684799999995
"185",12303,13589.6688,-1286.6688
"186",16173,13628.6,2544.4
"187",14369,13656.6544,712.345599999995
"188",13815,13683.8176,131.182399999996
"189",12611,13707.608,-1096.60800000001
"190",14848,13733.2528,1114.74719999999
"191",13894,13758.544,135.455999999996
"192",13238,13782.632,-544.632000000005
"193",15205,13807.248,1397.752
"194",14377,13825.2528,551.747199999998
"195",14092,13843.6832,248.316799999997
"196",12767,13858.6816,-1091.6816
"197",14656,13875.7328,780.2672
"198",14082,13892.7936,189.206399999999
"199",13037,13909.4288,-872.428800000002
"200",14973,13925.2208,1047.7792
"201",13422,13937.4192,-515.419200000002
"202",14342,13952.4192,389.580799999998
"203",12009,13962.1472,-1953.1472
"204",13998,13976.2784,21.7215999999989
"205",14006,13986.568,19.4319999999971
"206",12505,13996.8176,-1491.8176
"207",15223,14007.664,1215.336
"208",16075,14013.304,2061.696
"209",14286,14018.296,267.703999999996
"210",14330,14019.3648,310.635199999995
"211",13176,14017.4192,-841.419200000004
"212",14802,14021.552,780.447999999997
"213",12555,14024.7408,-1469.7408
"214",14380,14032.4688,347.531199999996
"215",14737,14039.2928,697.707199999997
"216",14375,14048.3808,326.619199999997
"217",12849,14053.8416,-1204.8416
"218",14005,14061.3088,-56.3088000000043
"219",14718,14071.0304,646.969599999995
"220",12551,14078.9104,-1527.9104
"221",14576,14087.3584,488.641599999995
"222",14330,14090.6512,239.348799999994
"223",14889,14093.0368,795.963199999993
"224",12261,14089.2128,-1828.2128
"225",14538,14090.8496,447.150399999995
"226",14706,14091.7104,614.289599999996
"227",12009,14090.0576,-2081.0576
"228",15612,14094.6176,1517.3824
"229",15041,14093.4448,947.555199999997
"230",14414,14089.1872,324.812799999998
"231",13281,14079.2528,-798.252800000002
"232",15306,14070.7072,1235.2928
"233",15713,14060.4192,1652.5808
"234",11820,14049.9552,-2229.9552
"235",14473,14048.5024,424.497599999997
"236",13978,14049.3648,-71.364800000003
"237",14645,14048.12,596.879999999997
"238",14132,14041.0752,90.924799999997
"239",15584,14035.9744,1548.0256
"240",16041,14029.1728,2011.8272
"241",12589,14020.7152,-1431.7152
"242",13714,14022.7824,-308.782400000002
"243",14214,14023.3296,190.670399999997
"244",13908,14020.7616,-112.761600000002
"245",11365,14018.7328,-2653.7328
"246",13163,14021.1424,-858.142400000001
"247",13437,14024.3232,-587.323200000001
"248",11815,14026.4064,-2211.4064
"249",14898,14033.4208,864.5792
"250",13618,14027.952,-409.952000000001
"251",14419,14020.6112,398.388799999997
"252",13559,14013.0464,-454.046400000003
"253",15632,14003.9808,1628.0192
"254",14156,13989.8464,166.153599999996
"255",11274,13970.5872,-2696.5872
"256",14925,13954.1664,970.833599999998
"257",14300,13934.3328,365.6672
"258",15241,13910.0336,1330.9664
"259",14986,13873.52,1112.48
"260",16063,13829.5056,2233.4944
"261",13463,13776.9552,-313.955199999999
"262",10863,13720.7408,-2857.7408
"263",16924,13666.9536,3257.0464
"264",15725,13601.1936,2123.8064
"265",16310,13531.0432,2778.9568
"266",17381,13451.1592,3929.84080000001
"267",13629,13348.3888,280.611200000007
"268",12476,13243.6424,-767.642399999995
"269",13435,13142.3232,292.676800000007
"270",12953,13034.86,-81.8599999999951
"271",12232,12917.184,-685.183999999997
"272",11858,12799.78,-941.779999999997
"273",11823,12683.6272,-860.627199999997
"274",9733,12565.5992,-2832.5992
"275",11528,12458.6256,-930.625599999998
"276",13992,12351.18,1640.82
"277",14171,12239.008,1931.992
"278",12484,12117.2552,366.744800000002
"279",10068,11996.984,-1928.984
"280",9908,11883.8312,-1975.8312
"281",14436,11769.7584,2666.2416
"282",10503,11648.5688,-1145.5688
"283",7135,11526.0032,-4391.0032
"284",13464,11422.004,2041.996
"285",12318,11314.976,1003.024
"286",10658,11207.3864,-549.386400000001
"287",8598,11097.464,-2499.464
"288",12233,10995.0888,1237.9112
"289",13122,10894.5352,2227.4648
"290",10495.5,10787.2488,-291.748800000003
"291",7869,10689.5192,-2820.5192
"292",12309,10614.3848,1694.61519999999
"293",12880,10536.7192,2343.2808
"294",9122,10447.9352,-1325.9352
"295",8158,10368.5704,-2210.5704
"296",11471,10298.4744,1172.5256
"297",11061,10221.3592,839.640799999997
"298",10659,10144.6376,514.362399999998
"299",11477,10074.1064,1402.8936
"300",9143,10001.1016,-858.101600000002
"301",10611,9936.548,674.451999999999
"302",8795,9875.66,-1080.66
"303",10262,9831.692,430.307999999999
"304",10429,9790.8376,638.162399999999
"305",7967,9750.7176,-1783.7176
"306",9499,9717.828,-218.828000000001
"307",5846,9697.3304,-3851.3304
"308",10633,9698.9768,934.023200000001
"309",10049,9694.6648,354.335200000003
"310",8222,9693.636,-1471.636
"311",6395,9711.4568,-3316.4568
"312",11050,9749.9672,1300.0328
"313",8680.5,9792.8072,-1112.3072
"314",6311,9849.5144,-3538.5144
"315",10654,9927.3352,726.664800000004
"316",12479,10003.5472,2475.4528
"317",9407,10069.9288,-662.928799999994
"318",6335,10139.7072,-3804.7072
"319",10696,10224.996,471.004000000004
"320",9156,10306.0224,-1150.02239999999
"321",6323,10388.4968,-4065.49679999999
"322",10510,10483.56,26.440000000006
"323",13364,10576.4232,2787.57680000001
"324",11675,10658.24,1016.76000000001
"325",12040,10740.5144,1299.48560000001
"326",9521,10811.8688,-1290.86879999999
"327",13994,10885.5176,3108.48240000001
"328",9986,10945.2928,-959.29279999999
"329",11249,11004.3544,244.645600000011
"330",10545,11063.0752,-518.07519999999
"331",12307,11119.3352,1187.66480000001
"332",15029,11171.1456,3857.85440000001
"333",10407,11202.8968,-795.896799999993
"334",8686,11239.0656,-2553.06559999999
"335",15907,11286.1768,4620.82320000001
"336",15063,11320.1808,3742.81920000001
"337",16208,11343.324,4864.67600000001
"338",13795,11361.152,2433.84800000001
"339",12696,11381.712,1314.28800000001
"340",9807,11406.4544,-1599.45439999999
"341",10945,11448.7072,-503.707199999993
"342",8628,11506.816,-2878.81599999999
"343",9484,11578.568,-2094.56799999999
"344",9606,11646.7408,-2040.74079999999
"345",11059,11715.2256,-656.225599999994
"346",9043,11783.0608,-2740.06079999999
"347",8584,11853.384,-3269.38399999999
"348",9165,11945.4192,-2780.41919999999
"349",12159,12066.2736,92.7264000000032
"350",8112,12199.7552,-4087.7552
"351",9865,12356.736,-2491.736
"352",10522,12525.6736,-2003.6736
"353",9264,12711.9424,-3447.9424
"354",11856,12916.7968,-1060.7968
"355",11585,13136.1168,-1551.1168
"356",12334,13363.68,-1029.68
"357",11675,13597.7408,-1922.7408
"358",12942,13848.1504,-906.1504
"359",14162,14099.6624,62.3376000000007
"360",15400,14346.3408,1053.6592
"361",16943,14595.9984,2347.0016
"362",18044,14843.7568,3200.2432
"363",20617,15086.1968,5530.8032
"364",21695,15311.0368,6383.9632
"365",19904,15514.7952,4389.2048
"366",19321,15694.784,3626.216
"367",16376,15857.1808,518.8192
"368",10396,16005.3216,-5609.3216
"369",8711,16163.1424,-7452.1424
"370",12556,16335.0576,-3779.0576
"371",13318,16507.5936,-3189.5936
"372",20228,16681.1248,3546.87519999999
"373",22978,16829.6416,6148.3584
"374",20535,16941.2176,3593.7824
"375",18871,17026.6576,1844.3424
"376",17682,17091.192,590.808000000001
"377",17882,17139.8912,742.108800000002
"378",20158,17170.1632,2987.8368
"379",21504,17176.472,4327.528
"380",17777,17156.7328,620.267200000002
"381",16422,17124.9264,-702.9264
"382",18539,17082.6992,1456.3008
"383",16166,17023.7856,-857.785600000003
"384",16617,16958.328,-341.328000000005
"385",16755,16882.2832,-127.283200000009
"386",17636,16801.6544,834.34559999999
"387",16556,16714.776,-158.776000000009
"388",16439,16624.344,-185.344000000012
"389",17518,16532.5808,985.419199999989
"390",15145,16445.6432,-1300.64320000001
"391",16702,16365.3296,336.670399999992
"392",15214,16282.8352,-1068.83520000001
"393",17358,16197.448,1160.55199999999
"394",16625,16095.3024,529.69759999999
"395",14441,15976.1424,-1535.14240000001
"396",18215,15851.8976,2363.10239999999
"397",16238,15714.024,523.975999999991
"398",13703,15580.2304,-1877.23040000001
"399",12576,15460.7792,-2884.77920000001
"400",16564,15359.0816,1204.91839999999
"401",15602,15259.7632,342.236799999988
"402",13725,15163.8224,-1438.82240000001
"403",16075,15075.3296,999.670399999988
"404",14872,14992.6528,-120.652800000013
"405",16427,14922.2448,1504.75519999999
"406",13997,14849.9936,-852.993600000011
"407",14974,14785.104,188.89599999999
"408",15300,14725.7824,574.217599999989
"409",12455,14672.1248,-2217.12480000001
"410",15245,14631.7344,613.26559999999
"411",14423,14593.2208,-170.22080000001
"412",12847,14552.6352,-1705.63520000001
"413",11429,14518.7008,-3089.70080000001
"414",16357,14501.1568,1855.84319999999
"415",14526,14483.9776,42.0223999999907
"416",12720,14469.848,-1749.84800000001
"417",12244,14467.3248,-2223.32480000001
"418",13846,14478.6992,-632.699200000008
"419",13905,14502.568,-597.56800000001
"420",13148,14535.0256,-1387.02560000001
"421",14594,14579.1264,14.8735999999917
"422",14798,14633.3264,164.673599999991
"423",13392,14696.6944,-1304.69440000001
"424",15713,14766.1504,946.849599999994
"425",15744,14835.8688,908.131199999994
"426",15633,14909.8096,723.190399999996
"427",14223,14986.6896,-763.689600000005
"428",15627,15069.9664,557.033599999993
"429",15908,15157.576,750.423999999994
"430",13925,15248.4432,-1323.44320000001
"431",16173,15348.7488,824.251199999993
"432",14889,15448.4624,-559.462400000004
"433",17974,15554.3392,2419.6608
"434",16585,15654.5472,930.452799999997
"435",14908,15752.3696,-844.369600000002
"436",9915,15856.7232,-5941.7232
"437",13295,15981.6096,-2686.6096
"438",16663,16113.6464,549.353599999995
"439",15424,16240.4496,-816.449600000004
"440",15813,16372.456,-559.456000000004
"441",15992,16501.568,-509.568000000003
"442",17960,16610.928,1349.072
"443",18143,16705.8256,1437.1744
"444",16553,16791.5824,-238.582400000003
"445",19132,16871.5856,2260.41439999999
"446",17285,16937.4352,347.564799999996
"447",19088,16995.8256,2092.1744
"448",16886,17038.4368,-152.436800000003
"449",19014,17073.928,1940.072
"450",17563,17097.2704,465.729599999995
"451",17501,17114.4944,386.505599999993
"452",18719,17123.1776,1595.82239999999
"453",17887,17118.5744,768.425599999995
"454",18980,17104.376,1875.624
"455",17322,17074.7824,247.217599999996
"456",17979,17036.1936,942.806399999998
"457",18656,16988.0656,1667.9344
"458",17105,16926.7664,178.2336
"459",19224,16861.296,2362.704
"460",18653,16782.8256,1870.1744
"461",18240,16691.2752,1548.7248
"462",18212,16579.2656,1632.7344
"463",18626,16454.1296,2171.8704
"464",17743,16318.784,1424.216
"465",15291,16178.3365538462,-887.33655384616
"466",6919,16037.3328615385,-9118.33286153847
"467",14637,15909.4545230769,-1272.45452307694
"468",16727,15785.5015384616,941.498461538438
"469",15605,15662.4227076923,-57.422707692338
"470",16270,15539.4692307693,730.530769230729
"471",15314,15419.7035076924,-105.703507692362
"472",13516,15301.6999384616,-1785.69993846161
"473",15930,15191.220123077,738.779876922992
"474",14722,15080.8784615386,-358.878461538563
"475",15558,14976.0125538463,581.987446153727
"476",14031,14872.9632000001,-841.96320000014
"477",14911,14771.0500923078,139.949907692206
"478",14150,14669.1369846154,-519.136984615448
"479",12430,14567.2238769231,-2137.2238769231
"480",15097,14465.3107692308,631.689230769243
"481",13823,14363.3976615384,-540.397661538411
"482",14191,14261.4845538461,-70.484553846065
"483",13629,14159.5714461537,-530.571446153719
"484",13738,14057.6583384614,-319.658338461373
"485",14223,13955.745230769,267.254769230974
"486",13778,13853.8321230767,-75.8321230766796
"487",14925,13751.9190153843,1173.08098461567
"488",14208,13650.005907692,557.994092308012
