,seasonal
0,-636.0154319366651
1,-234.55219531931783
2,-110.0449323984615
3,101.58525502565406
4,204.8299565234734
5,452.00570317744496
6,143.71832329779795
7,-429.974272236859
8,-207.6148308785624
9,-324.55799474284
10,172.56733674757285
11,144.62719997082598
12,398.6917273180922
13,165.1516338001268
14,-228.15880822693688
15,-190.21024610083228
16,-515.4599000076595
17,244.95442505560706
18,80.0334778319457
19,342.68068087519134
20,184.81655582046153
21,-29.494334387255478
22,-181.29798606434795
23,-681.9380083017597
24,308.3077087583815
25,9.224670499068909
26,293.0000139985191
27,210.06750931523968
28,148.30650389816273
29,-170.55892142064738
30,-818.1355011315063
31,362.21313155484194
32,-64.36210987795982
33,248.31823366710356
34,240.8212784168809
35,240.8910596590696
36,-143.0781079760089
37,-900.3001869541318
38,446.1489468383639
39,-122.67102983306496
40,171.57652071934228
41,234.55650119804815
42,261.36820001097436
43,-137.3614065387183
44,-792.6435027916287
45,504.11585085860315
46,-206.15796496426108
47,101.75416490891735
48,191.4652739209482
49,264.79210713629016
50,-139.54818399005526
51,-656.0675024903679
52,535.1640048698172
53,-279.62815446257696
54,77.83268063626976
55,149.3256965597928
56,187.05745887869992
57,-98.12362403841425
58,-403.17848503825974
59,548.6274334538357
60,-392.86042067558276
61,-29.224123849509866
62,87.1905639287708
63,107.5143092763166
64,-4.191974668343473
65,-128.24103897685967
66,537.1141008167481
67,-432.9929435154016
68,-156.34215712548195
69,0.9228885885541391
70,48.53366295323357
71,82.67510526581141
72,-50.237926951657755
73,529.0668776355751
74,-341.4936752210984
75,-217.2135488678042
76,-82.38000573681299
77,22.47511841174343
78,112.42250532109533
79,-121.0093103594816
80,555.0305456962419
81,-194.2775558260829
82,-197.26197308201165
83,-195.73243992104744
84,-47.909181612382504
85,48.98403457944015
86,-89.36005105015309
87,740.4577397266877
88,6.367313321148622
89,-196.04724468589455
90,-507.75803667877346
91,-199.80994368587528
92,19.05889382653871
93,40.197068414345324
94,921.5495729482361
95,128.88589027458696
96,-212.37556566973544
97,-774.5689445975661
98,-252.99414513289034
99,78.27845558307966
100,76.56704640240295
101,944.0902205366377
102,160.08283078339346
103,-169.68603689848064
104,-868.5597085374807
105,-206.87825619892695
106,108.13460859995342
107,-9.913783737126392
108,906.6266081610328
109,156.37066261774584
110,-97.78272879937457
111,-869.1427326820727
112,-126.28587179669404
113,107.93189868309517
114,-98.42164625796903
115,963.1360300042423
116,157.1448756149241
117,-149.10181460931122
118,-963.052555432663
119,11.518931868205797
120,148.85287838250864
121,-170.55490054653254
122,1016.8205576023599
123,189.7090482878294
124,-258.1312426108845
125,-1087.2902861855714
126,212.511830669356
127,213.07445635390485
128,-281.7885627098883
129,994.3437687005566
130,268.1113638284751
131,-396.79932398108974
132,-1140.1604653397346
133,473.5234458095507
134,299.01625208378636
135,-509.6798712800841
136,896.6456358553477
137,303.5918329830056
138,-482.24674804095844
139,-1010.5567780169522
140,671.4952724822585
141,249.61833330386216
142,-733.800287309511
143,908.7253958120212
144,414.1261550592844
145,-510.58909306585696
146,-941.8738745978261
147,741.8696132664276
148,148.08930382732242
149,-889.0834909715732
150,974.900324695967
151,377.69022391779066
152,-499.04772291981516
153,-843.5994217648964
154,898.065134152419
155,196.58523602056118
156,-1093.0909521996234
157,1027.6879179628454
158,58.79434268319834
159,-449.7917959080187
160,-704.742270444861
161,1086.564691834653
162,280.8215119559868
163,-1241.8629687605385
164,1077.8088260268557
165,-291.317411090324
166,-367.09057949338825
167,-523.8975186304378
168,1145.396121471322
169,230.17363142036916
170,-1280.709651172471
171,1146.9502515863744
172,-501.7564503827203
173,-315.7220425750555
174,-284.26396420773625
175,1147.746337143835
176,27.090870176246305
177,-1243.1602035649055
178,1182.841144300231
179,-618.0065834875145
180,-289.2221892752116
181,-98.47694150774416
182,1143.2730292454778
183,-162.2653633353206
184,-1107.3333603084372
185,1192.1609612538944
186,-665.0952860568378
187,-293.37271690877276
188,-98.39305178784582
189,1069.482169926525
190,-210.18410735743097
191,-931.7009239062932
192,1176.1863750666491
193,-611.9617786227238
194,-301.99114022248347
195,-162.66073420181425
196,909.6230761061144
197,-210.06016728628367
198,-808.4036771134533
199,1096.5552534882772
200,-417.00006167561173
201,-313.2441011033189
202,-181.19199242215439
203,773.0687849588252
204,-205.93945451328224
205,-716.7064084296773
206,952.343160894448
207,-276.25483761994514
208,-366.91642174049
209,-167.7383593324879
210,759.0088717690259
211,-67.85343990342243
212,-698.3358397060275
213,833.0369387265689
214,-341.0163485321875
215,-405.55532637943907
216,-189.34653856181882
217,797.8816298741706
218,133.33519274618266
219,-748.5348382583048
220,802.4365612489242
221,-437.82617615543927
222,-353.97777636033516
223,-264.4273129818529
224,777.2410018684691
225,259.59664713351185
226,-821.9513666785243
227,873.5075888044321
228,-489.027236590325
229,-227.53439142759876
230,-353.2888695776937
231,737.4364284207865
232,243.86478294076196
233,-896.6087551705386
234,1022.1261996697743
235,-532.5597893359421
236,-117.13590795000127
237,-448.83852183904304
238,731.3174633211303
239,187.4440880703582
240,-912.0258263812954
241,1103.7144735144038
242,-536.421174449884
243,-40.97062924552346
244,-521.1740273274095
245,751.6436695656809
246,149.1784795612257
247,-941.6001652608633
248,1048.153297258056
249,-427.71560401449864
250,8.05614121197976
251,-604.542499941803
252,835.5962037231308
253,124.59452482257875
254,-1075.919194150063
255,997.8979793141855
256,-237.55456934221954
257,46.622656695385
258,-728.0321703017255
259,934.8281798600407
260,114.27567124203611
261,-1193.7426109593011
262,978.6426335541366
263,-82.31107886629829
264,46.94151573014752
265,-887.8561717157133
266,1004.006265155292
267,150.27012486081767
268,-1210.010261195445
269,942.2915859305654
270,47.519998628411
271,22.70755456451723
272,-1006.5283092690631
273,988.2215937955967
274,210.62385215228204
275,-1223.6178471066646
276,863.4447136204235
277,258.22003274966625
278,-5.820323020142513
279,-1037.4279613310737
280,844.522430180671
281,271.2286752010619
282,-1256.0455693617348
283,821.293495129413
284,465.13621567520715
285,29.76762641523896
286,-1065.7237790419117
287,614.3058575403413
288,319.53620854732924
289,-1290.1323528768241
290,872.6463331885102
291,573.785673955913
292,157.94696228537296
293,-1127.9353632852883
294,389.0459482225696
295,379.78281983880396
296,-1366.281812506413
297,952.3852523594845
298,588.1564448024845
299,289.2781611005135
300,-1127.9880663270303
301,257.37618725415183
302,526.1220220269918
303,-1506.9119433257974
304,867.9837487440828
305,581.2939554151923
306,356.77551863455716
307,-1062.9391020122894
308,257.685079046407
309,723.9721656683325
310,-1663.0380314414797
311,722.2732682511069
312,560.040722046712
313,387.6213230438386
314,-1028.4836847683994
315,342.77303587490974
316,844.863418558085
317,-1779.4975088000506
318,649.2053536882629
319,464.5586093958647
320,422.6275777260758
321,-994.7024600502195
322,542.5829525120316
323,818.1867068343081
324,-1937.9715422965294
325,665.2602980523969
326,312.2182330989078
327,487.40146408205675
328,-837.3960184369377
329,759.4981438337992
330,611.0915020632534
331,-2141.830711045925
332,733.3399907885213
333,216.8419254000037
334,544.3448742211069
335,-474.0368062258185
336,739.2118999763735
337,284.9986442861293
338,-2109.8365361401025
339,786.107814588818
340,186.37647701216582
341,519.7479885950698
342,-149.06785072613394
343,528.7919531954298
344,-68.7739658554667
345,-1827.3860269574448
346,924.3713369290549
347,210.77183099043188
348,375.95091253135377
349,-67.81329039121493
350,458.0452366442703
351,-345.7081712040657
352,-1638.6149063125752
353,1089.9616141793324
354,330.0082280189439
355,226.76434628385914
356,-185.2141454978203
357,462.69550091305797
358,-396.41559526857264
359,-1506.8460738860997
360,998.3804721240335
361,554.2027396239058
362,212.3105213750263
363,-377.7387912801982
364,295.3738318339027
365,-289.9782025230553
366,-1205.8347434560233
367,728.087311212501
368,834.4481332377719
369,248.8592174500764
370,-729.2219869896202
371,89.33671985242479
372,-136.7512105713328
373,-748.0365944308645
374,475.52035930253834
375,999.3852445370713
376,243.61625922447033
377,-1270.8473484368822
378,171.88084260585268
379,164.48914427787116
380,-448.9037727760966
381,109.98494010283184
382,1131.7386758474638
383,234.1305190753733
384,-1841.7139990911235
385,454.28982349460154
386,639.5712722391697
387,-359.0963281999248
388,-394.0677595033189
389,1208.936876254974
390,349.88141369391496
391,-2216.6579249383312
392,557.51334260979
393,1047.6675377531487
394,-191.0656651116489
395,-712.9217266562111
396,1025.7965657962086
397,477.17478522687696
398,-2293.365205327332
399,448.4859575388904
400,1141.5364609617855
401,110.92323822002196
402,-547.4213506402855
403,598.6245628142458
404,317.4869576582671
405,-2093.606935184147
406,470.9110973982544
407,995.414129066032
408,223.53181574392738
409,-167.9295607794077
410,196.90882287232708
411,106.46253747511032
412,-1713.8820832631982
413,555.2200690534366
414,771.9000220867048
415,174.40433494281953
416,17.139495221773988
417,-112.36239727457242
418,106.74043107721006
419,-1115.8487769568517
420,399.57557460532513
421,445.4257145903114
422,34.54994773034974
423,231.13033133660275
424,-428.5715464276011
425,334.2831491674391
426,-354.6769146352143
427,60.78878058013619
428,-58.67753822049035
429,-178.7024296071564
430,584.5728175137373
431,-717.1789675518746
432,569.6275416808146
433,343.03323334305367
434,-168.2909598085564
435,-487.50235104392794
436,-399.0722385944971
437,646.9438604075252
438,-887.0469106462091
439,718.7040546850288
440,851.7185869033544
441,-90.88878603520433
442,-447.7613158206167
443,-477.25055705378765
444,163.8748995073727
445,-1129.3329266102585
446,689.7954756310048
447,983.8020895103283
448,266.2775078144338
449,60.690830312814
450,-411.38600304425626
451,-380.14909245428134
452,-1494.7106477606867
453,550.5906523785668
454,883.8058450688081
455,705.2912012692693
456,553.4929551401661
457,-353.75667131537483
458,-561.8639648727309
459,-1785.4655159542904
460,233.27220855971217
461,652.5917855635056
462,1099.4847076906128
463,883.3567265658793
464,-319.99209462991547
465,-471.6329023737813
466,-1845.7740392591759
467,-110.80549407952267
468,268.27670575362293
469,1451.7575768204222
470,1087.218428113947
471,-293.25883031939327
472,-293.8023872550654
473,-1724.3521987521626
474,-445.2715554393338
475,-212.85969812253924
476,1713.5925138784107
477,1178.8142962519833
478,-356.7205603538998
479,36.13079508313835
480,-1504.8653124325847
481,-590.7709305495542
482,-614.9538416036621
483,1750.4948412476294
484,1064.4487939924647
485,-606.645551690706
486,495.7229583580382
487,-1054.3452412163667
488,-552.2547262904958
489,-965.9810489345698
490,1596.4206983151748
491,770.9762516430692
492,-913.9715631762282
493,836.5004143750801
494,-468.5707385909459
495,-344.22438689895716
496,-1173.860442116359
497,1347.448270960084
498,547.473645193743
499,-1140.2665011374381
500,909.434837603209
501,-58.30276591859888
502,-93.71718481034031
503,-1286.4543186451765
504,1134.8581505006416
505,456.3557403844518
506,-1255.2356652404912
507,826.2482758942461
508,128.7276014750727
509,190.7793969947177
510,-1153.634267698022
511,986.4555391795647
512,180.3473485773814
513,-1329.6428563520353
514,757.0081929293202
515,179.58559608306098
516,436.6151507641383
517,-884.3171304994362
518,888.7054788287574
519,-140.13545992706557
520,-1321.3234113029282
521,709.4014142117957
522,108.6346531089098
523,637.5122949732029
524,-660.4152047963406
525,792.416436184576
526,-378.15454177791787
527,-1257.7431799170931
528,733.0949930550978
529,20.01730046397385
530,759.7778621956259
531,-507.9648210940797
532,675.7461361106253
533,-485.20501769605784
534,-1189.9910128664608
535,646.7399538243426
536,-61.04965525259954
537,881.1099905148243
538,-302.958473656257
539,625.9819888195148
540,-451.13586383869483
541,-1112.1043790169074
542,210.14947953767287
543,-113.16105066439637
544,973.8831039327538
545,-128.1609991759458
546,723.8230281367502
547,-275.7358495177385
548,-1056.3235459370346
549,-269.7315833906493
550,-134.19199856436794
551,975.2215682677714
552,-86.41767900485095
553,819.5712268973681
554,-86.769633944102
555,-1082.252426678665
556,-357.9710317498702
557,-154.4723099796358
558,907.5930340816935
559,-85.36025847916366
560,736.6003367220624
561,106.42254294565805
562,-1057.9579411346206
563,-429.17831978063595
564,-185.24446496179073
565,839.5823425413163
566,-43.26732304285108
567,677.2508337696407
568,297.72165254860334
569,-1037.0542531018627
570,-543.5195743092881
571,-217.60675671626262
572,785.9706426536168
573,16.17498033388819
574,619.9772712440354
575,463.0166623450883
576,-1030.6461530814697
577,-613.756633246771
578,-253.6237250997162
579,734.2799796297027
580,72.93565052711459
581,547.8070876662022
582,593.4106066060735
583,-1034.9179860889196
584,-603.1806593054639
585,-296.52385183106077
586,675.2131487027436
587,120.7845774794801
588,456.3784684510524
