,trend
0,11903.249358986477
1,12117.402163516874
2,12318.536730898457
3,12511.644746850574
4,12699.709843821296
5,12879.396318680057
6,12999.820649951569
7,12960.637714144545
8,12876.663885821503
9,12790.8046924203
10,12727.602786886337
11,12656.2446745559
12,12561.005810604787
13,12477.534848743291
14,12454.039038811557
15,12539.483400886667
16,12671.734029648838
17,12746.178485482626
18,12769.535609109478
19,12791.529222212022
20,12823.992705016077
21,12808.652867534878
22,12701.347801389215
23,12542.626776786472
24,12410.51112970979
25,12355.559929451076
26,12354.179030616851
27,12352.117143563246
28,12356.365119337677
29,12352.632579560019
30,12335.263833503654
31,12326.649213269118
32,12291.7863331689
33,12184.214372773593
34,12077.958870179393
35,12048.112367135986
36,12114.490720478185
37,12230.396220120947
38,12353.629442998124
39,12482.90276850396
40,12651.665184282814
41,12881.011992919259
42,13113.505446108938
43,13284.007436871212
44,13437.37410739384
45,13600.960232876727
46,13771.053968759754
47,13964.298102934368
48,14161.09538892635
49,14315.427347671817
50,14426.118046566917
51,14525.828867812823
52,14605.034146672215
53,14641.98781434224
54,14613.56591202037
55,14496.165915403984
56,14310.353450142144
57,14113.216017960287
58,13915.77881620473
59,13720.177778033032
60,13543.534684037995
61,13416.66343416339
62,13347.120553687502
63,13352.9547668927
64,13435.699326032207
65,13546.35796607636
66,13662.944243770911
67,13792.287062302654
68,13925.62280050048
69,14070.318106217508
70,14234.055594905014
71,14399.275082161621
72,14519.534237975868
73,14549.215949277524
74,14487.908830207673
75,14343.855562223336
76,14075.085903341864
77,13594.337306357973
78,12890.021148060097
79,12101.26450226418
80,11411.187105959541
81,10874.516939130384
82,10425.220273065957
83,10039.413252616765
84,9799.667655756932
85,9759.960484859772
86,9833.518161651018
87,9837.652427431865
88,9709.884629980415
89,9540.11030513652
90,9443.73029895208
91,9445.182898707033
92,9472.469246993409
93,9516.78617796564
94,9645.855063362449
95,9873.739417577064
96,10140.587792871309
97,10388.92634550649
98,10674.159697576077
99,11159.817982017774
100,11935.839574665111
101,12887.573799228581
102,13848.37093917095
103,14817.48197996807
104,15828.367203352092
105,16733.166998554923
106,17182.203067732735
107,16913.337074920473
108,16096.252391721599
109,15168.286023585079
110,14423.151081089574
111,13831.841383438232
112,13349.958335393567
113,13190.965362261688
114,13603.747903204221
115,14577.923962280087
116,15776.344497578728
117,16743.819175785087
118,17347.915524182816
119,17711.58959909886
120,17953.392259280885
121,18057.900263537646
122,17932.693733940767
123,17594.46053040239
124,17201.584712954667
125,16892.566588847414
126,16704.304878588136
127,16572.860944074815
128,16442.159701976867
129,16309.003320553265
130,16207.369216021769
131,16172.511863429383
132,16218.219220468209
133,16289.14047819296
134,16292.965398253666
135,16200.117278285794
136,16053.076658023907
137,15911.475345644782
138,15763.290671999373
139,15550.85309146229
140,15295.277540046396
141,15080.865910417364
142,14952.936908141328
143,14880.138150116387
144,14803.333478239847
145,14778.808640816971
146,14851.32108424917
147,14972.38026561411
148,15001.290321440281
149,14867.265089480585
150,14683.516805581829
151,14567.141426825237
152,14467.990950471445
153,14303.223445043608
154,14069.610370759157
155,13901.310301878506
156,13889.353632620987
157,13971.326660841456
158,14022.547570109802
159,14031.85039425503
160,14132.050063116003
161,14412.796788682717
162,14801.07596834998
163,15227.884125991573
164,15643.621959886277
165,16040.577159523038
166,16428.782721155003
167,16734.714963562536
168,16943.961633246978
169,17088.27191469766
170,17208.077471870427
171,17327.42788411857
172,17375.826716865467
173,17253.982579622847
174,16949.200434878254
175,16442.607865888538
176,15850.707010859896
177,15257.667306504009
178,14777.74069963397
179,14519.881791804879
180,14538.384486933346
181,14857.344540799459
182,15421.593363931826
183,16070.148533631349
184,16674.69176089019
185,17092.339160253814
186,17367.328288215213
187,17574.8129320886
188,17733.688172182534
189,17830.09294434968
190,17850.51890628278
191,17824.738592531576
192,17747.2596619955
193,17536.201430526628
194,17187.36336895895
195,16763.000707652962
196,16335.88884422722
197,15936.152035229778
198,15585.508441915365
199,15346.085258487063
200,15248.032363991055
201,15256.826195900881
202,15242.745525354941
203,15141.026977675925
204,15003.727479348461
205,14846.265355931931
206,14626.027494340575
207,14334.157457613554
208,14036.039075619457
209,13785.679553366012
210,13591.846588106984
211,13449.098801271852
212,13333.023198954332
213,13265.514791883852
214,13246.059879641456
215,13200.492129694305
216,13133.050785995889
217,13114.510425692008
218,13162.368321372775
219,13241.442364493289
220,13304.53898328691
221,13337.73469769608
222,13333.647866896517
223,13273.133177860533
224,13117.307614120838
225,12842.974134668233
226,12547.009214921534
227,12352.992035709958
228,12316.244332789081
229,12435.736392941786
230,12652.596236021991
231,12914.455615308209
232,13186.602795910441
233,13438.04653097275
234,13602.973709304368
235,13627.346606871519
236,13534.140044474661
237,13408.996442198359
238,13331.850023981611
239,13322.976916954638
240,13329.688937764142
241,13318.836774453892
242,13297.055800620483
243,13300.370854624392
244,13329.949349025534
245,13346.051041368437
246,13338.524997281545
247,13308.718115196125
248,13264.01723199914
249,13221.376679858035
250,13190.478927699352
251,13169.303097061666
252,13142.316627470103
253,13133.496989189594
254,13149.143228152881
255,13185.32678556488
256,13250.28073964753
257,13322.538973575025
258,13383.706491474724
259,13411.752977729395
260,13420.418293594455
261,13437.153059363376
262,13442.092986655707
263,13429.440151138939
264,13330.084054516476
265,13107.951629091223
266,12868.359952765233
267,12668.165941704847
268,12555.291328975016
269,12556.202179489106
270,12653.866928447991
271,12859.605220366368
272,13174.206048126542
273,13544.296993501119
274,13861.417859665746
275,14035.735510162609
276,14112.167234898277
277,14106.196588074408
278,14071.428166777883
279,14059.66412034327
280,14042.056835801752
281,14015.657569329052
282,14017.520584408356
283,14036.553643739966
284,14048.275618658889
285,14050.73898518838
286,14030.730104613678
287,13968.521998476892
288,13904.11211080059
289,13841.160829207158
290,13779.862331211398
291,13725.134400389661
292,13683.488453880473
293,13690.87605145829
294,13773.293460095396
295,13916.193378429058
296,14082.492070958437
297,14193.652714847238
298,14268.20513433775
299,14302.543916157148
300,14281.357113204493
301,14214.603306636742
302,14111.873623145237
303,14010.880639421719
304,13946.02111244634
305,13918.029033520203
306,13933.754403507455
307,13943.111602755598
308,13951.071186021605
309,13963.154473999437
310,13956.042470827617
311,13951.526951408894
312,13948.847316473613
313,13948.911981559218
314,13979.857044314887
315,14039.251408470847
316,14103.522559815514
317,14161.133484823518
318,14234.615107784548
319,14331.447382154338
320,14388.563516826982
321,14380.237922529555
322,14311.941564338369
323,14238.184916408232
324,14225.197069140127
325,14263.475677738454
326,14327.231429461206
327,14387.596243827984
328,14418.204724027042
329,14423.856682056014
330,14361.235505089046
331,14180.222304963234
332,13891.828264277816
333,13574.919839873373
334,13334.112289042558
335,13211.20922041118
336,13191.886337322856
337,13244.378586266357
338,13355.977403692248
339,13565.011202659936
340,13796.397401343918
341,13929.388032123572
342,13968.33435647498
343,13984.649613510333
344,14050.291049640604
345,14170.209244113326
346,14296.107049513961
347,14358.725452585237
348,14355.911661652184
349,14409.273756146928
350,14540.473022208707
351,14724.351653793503
352,14920.218530381826
353,14999.747297192562
354,14969.60267398872
355,14912.728518287398
356,14788.242790409273
357,14486.50264620358
358,13977.726396227483
359,13376.302491943674
360,12756.700006476884
361,12281.659316916941
362,12094.987367812539
363,12079.634229958416
364,12095.754232141517
365,12066.624135960776
366,12009.615528895227
367,12039.014642584114
368,12050.51386005617
369,11874.547360052718
370,11550.155920484442
371,11258.557510008504
372,11123.935572472301
373,11064.593020320106
374,11024.45803059086
375,11028.125703791731
376,11060.835322707087
377,11062.764307692183
378,10998.620640700672
379,10942.68926522513
380,10955.35149645986
381,10882.49373458806
382,10695.17798121785
383,10526.119162681623
384,10529.524020278106
385,10711.607377728507
386,10884.232208009522
387,10950.309340488027
388,10964.914474492405
389,10939.776985913075
390,10864.231073314191
391,10681.185465949475
392,10366.574616965238
393,9964.619968586529
394,9552.997165356912
395,9282.501991684925
396,9144.462486425702
397,9029.257967360869
398,8863.433501784013
399,8715.719193199455
400,8676.91496351108
401,8722.916775058846
402,8789.771050064937
403,8917.463946422782
404,9061.648188046875
405,9162.232043940758
406,9242.24419570673
407,9280.004584622533
408,9262.344869767185
409,9276.1513927345
410,9359.866628332413
411,9544.53852041915
412,9853.363203347044
413,10236.016236097752
414,10654.86413329126
415,11026.207652870777
416,11322.329268157433
417,11459.157137043685
418,11483.118194587327
419,11564.273286399328
420,11654.262967689358
421,11639.309296966585
422,11638.040624891408
423,11771.981628141897
424,12109.45906096084
425,12510.630799148774
426,12886.686644227117
427,13291.521612528113
428,13787.966969780742
429,14272.610795518473
430,14483.788654127038
431,14308.634221839338
432,13897.239292266706
433,13284.125265819752
434,12523.716201038385
435,11697.740849347947
436,10936.570701388051
437,10323.975183923203
438,9881.511287741489
439,9636.338593385182
440,9605.344017486179
441,9717.028466805776
442,9984.266680655179
443,10318.361515267372
444,10618.189330366287
445,10829.443370937977
446,10959.047447133535
447,11084.310150257963
448,11229.626476066256
449,11334.178062963709
450,11363.892465499657
451,11376.927132900475
452,11589.785970108043
453,12086.767939309677
454,12786.66075304274
455,13650.820431570392
456,14659.848929974558
457,15807.743569519205
458,16965.293421010734
459,17929.080154686988
460,18475.74700948838
461,18410.759672021657
462,17757.36509321891
463,16743.671646908464
464,15686.200040384847
465,14960.569743264092
466,14769.740538598673
467,15089.420554004217
468,15780.946843955278
469,16735.729992426914
470,17798.22525864378
471,18750.3475268035
472,19383.94733162361
473,19533.110869449698
474,19248.83116982432
475,18842.7576629255
476,18528.501626357494
477,18284.868224564227
478,18013.845240173938
479,17671.44234433082
480,17313.482195538778
481,17073.211534804323
482,16943.25995322012
483,16812.884626294934
484,16678.01988852847
485,16572.65497095129
486,16494.427728218434
487,16432.267912457806
488,16377.78325918129
489,16337.20002628404
490,16278.026533367074
491,16141.86560671954
492,15915.06230298423
493,15670.356808008395
494,15488.580177081587
495,15346.876507355084
496,15192.895510467351
497,15038.212445332641
498,14971.983484643088
499,15029.127822095616
500,15112.668791547212
501,15117.49707986019
502,15027.36570599511
503,14911.46548328905
504,14763.998646637
505,14524.457990157427
506,14229.017655679629
507,14008.423403597353
508,13928.73005378451
509,13898.510754498304
510,13792.023882815318
511,13660.156499080122
512,13577.20875391664
513,13578.881319657914
514,13618.953240771822
515,13643.329608347067
516,13693.634255466959
517,13865.617323355797
518,14150.586065502044
519,14449.877249310359
520,14673.03587239453
521,14845.856019986331
522,15008.702541298326
523,15145.491025699246
524,15229.74264173792
525,15283.272725036486
526,15381.726155409877
527,15539.03223559506
528,15612.769304474145
529,15454.74677786286
530,15177.05358835567
531,14970.48063859369
532,14884.99483707726
533,14824.35463907398
534,14775.74585674056
535,14877.41504923106
536,15279.262752118375
537,15907.664980654665
538,16535.128548684934
539,16988.736835963067
540,17336.244411578416
541,17623.186308665216
542,17825.67592472488
543,17922.065719975566
544,17960.209456642035
545,17999.458206688105
546,18046.312996125125
547,18084.149670964885
548,18103.665257167515
549,18092.90906835833
550,18086.3207744567
551,18085.618022058494
552,18122.107384608735
553,18168.717873895017
554,18201.295058927575
555,18245.565054120085
556,18287.22380200774
557,18284.853767395885
558,18063.638720935563
559,17431.42395472314
560,16626.100219117725
561,15921.377669688361
562,15431.358283987614
563,15079.36204864134
564,14758.643518614106
565,14575.479444081075
566,14670.885769894927
567,14986.437131682256
568,15262.29569264573
569,15241.744505306156
570,15067.431959680727
571,14871.474131269084
572,14684.834109480147
573,14545.609119486136
574,14413.219778890056
575,14265.149063473293
576,14134.978000244491
577,14020.21029975364
578,13947.002767705475
579,13942.366164110937
580,14001.283020170322
581,14073.993394600555
582,14174.873481845372
583,14419.085042701718
584,14688.015962189313
585,14968.836802437352
586,15253.042050513934
587,15537.60830149836
588,15822.157541785533
